jasparfile, jaspar info, jaspar info percentage, sequence, motif, meme strand, jaspar strand, p_value, meme e value, distance score, percentage  score, positional distance, false positive, false negative, fail, promoter length, number of seqs, meme model, markov order
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, +, -, 4.42e-09, 3800.0, 28.992944960396045, 0.5177311600070722, 98, 0, 0, 1, 100, 10, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-9, MEME-1, +, +, 5.88e-12, 5000.0, 45.48960396039604, 0.6147243778431897, -14, 0, 0, 0, 100, 10, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, +, -, 1.27e-11, 5000.0, 45.48960396039604, 0.6147243778431897, 98, 0, 0, 1, 100, 10, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, -, +, 2.94e-11, 5000.0, 45.48960396039604, 0.6147243778431897, 98, 0, 0, 1, 100, 10, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 1.08e-10, 5000.0, 45.48960396039604, 0.6147243778431897, 98, 0, 0, 1, 100, 10, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-8, MEME-1, -, , 2.14e-10, 5000.0, 45.48960396039604, 0.6147243778431897, 100, 1, 0, 1, 100, 10, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, -, , 2.77e-09, 5000.0, 45.48960396039604, 0.6147243778431897, 100, 1, 0, 1, 100, 10, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-6, MEME-1, -, +, 7.85e-09, 5000.0, 45.48960396039604, 0.6147243778431897, 98, 0, 0, 1, 100, 10, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-7, MEME-1, -, +, 1.47e-08, 5000.0, 45.48960396039604, 0.6147243778431897, 98, 0, 0, 1, 100, 10, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-12, MEME-1, +, -, 3.77e-05, 0.0008, 5.549251782178218, 0.34682823638613863, 1, 0, 0, 0, 100, 15, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-10, MEME-1, -, +, 3.77e-05, 0.0008, 5.549251782178218, 0.34682823638613863, 1, 0, 0, 0, 100, 15, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-9, MEME-1, +, -, 3.77e-05, 0.0008, 5.549251782178218, 0.34682823638613863, 1, 0, 0, 0, 100, 15, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-5, MEME-1, +, -, 3.77e-05, 0.0008, 5.549251782178218, 0.34682823638613863, 1, 0, 0, 0, 100, 15, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, +, 3.77e-05, 0.0008, 5.549251782178218, 0.34682823638613863, 1, 0, 0, 0, 100, 15, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-7, MEME-1, +, -, 7.14e-05, 0.0008, 5.549251782178218, 0.34682823638613863, 1, 0, 0, 0, 100, 15, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, +, -, 7.14e-05, 0.0008, 5.549251782178218, 0.34682823638613863, 1, 0, 0, 0, 100, 15, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, -, +, 7.14e-05, 0.0008, 5.549251782178218, 0.34682823638613863, 1, 0, 0, 0, 100, 15, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657
