promoter_file, motif, number_of_sites, jaspar_file_info, jaspar_info_percentage, e_val, distance, distance_percentage, failure_rate, success_rate, false_positive_rate, false_negative, promoter_size, number_of_sequences, model, markov_order, iterations, stdev(avg_eval), stdev(avg_score), stdev(avg_pscore), stdev(avg_frate), stdev(avg_srate), stdev(avg_fprate), stdev(avg_fn)
'/tmp/testmotif23224_300_10_5.fa', 'MEME-2', 6.6, 0.6751350662203579, 65000.0, 38180.0, 22.873336400000003, 0.543190530836237, 0.7733333333333333, 0.22666666666666668, 0.09333333333333332, 'statistics.mean(avg_fn)', 300, 10, 'anr', 0, 5, 46703.98269955144, 14.297427634952113, 0.15475406534551192, 0.3311595788538611, 0.33115957885386116, 0.13621877827801698, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_10_5.fa', 'MEME-3', 4.6, 0.6751350662203579, 65000.0, 64580.0, 20.504765400000004, 0.42623759105933284, 1.0, 0.0, 0.07333333333333333, 'statistics.mean(avg_fn)', 300, 10, 'anr', 0, 5, 48508.576561263886, 15.17835799171056, 0.10347997371755152, 0.0, 0.0, 0.10110500592068734, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_10_5.fa', 'MEME-1', 10.2, 0.6751350662203579, 85000.0, 9460.0, 22.8585514, 0.5626404465134099, 0.7450757575757576, 0.2549242424242424, 0.10357142857142856, 'statistics.mean(avg_fn)', 300, 10, 'anr', 1, 5, 6140.684000988815, 9.479449372291768, 0.07528265870328395, 0.32439925582667406, 0.324399255826674, 0.16385813924220663, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_10_5.fa', 'MEME-2', 3.6, 0.6751350662203579, 85000.0, 107200.0, 10.3733336, 0.4147169265936678, 0.9333333333333333, 0.06666666666666667, 0.08888888888888888, 'statistics.mean(avg_fn)', 300, 10, 'anr', 1, 5, 32174.524083504326, 5.990984450359124, 0.18118309535964774, 0.14907119849998599, 0.14907119849998599, 0.14487116456005886, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_10_5.fa', 'MEME-3', 3.8, 0.6751350662203579, 85000.0, 126200.0, 14.52, 0.4272022100706311, 0.86, 0.14, 0.14666666666666667, 'statistics.mean(avg_fn)', 300, 10, 'anr', 1, 5, 37379.138566853035, 6.203789164696041, 0.07754213525222368, 0.21908902300206645, 0.21908902300206645, 0.2022100118413747, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-1', 14.4, 0.6751350662203579, 340000.0, 3374.600172, 10.673333399999999, 0.5264309848484848, 0.53, 0.47, 0.10666666666666667, 'statistics.mean(avg_fn)', 300, 15, 'zoops', 0, 5, 6544.139236669873, 5.622989512706101, 0.2787985576404427, 0.26151269355212736, 0.26151269355212736, 0.0760116950066092, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-2', 6.8, 0.6751350662203579, 340000.0, 77260.0, 13.306669, 0.36585634633998787, 1.0, 0.0, 0.07333333333333333, 'statistics.mean(avg_fn)', 300, 15, 'zoops', 0, 5, 147093.97676315642, 10.67550492092449, 0.11712643220954302, 0.0, 0.0, 0.10110500592068734, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-3', 10.8, 0.6751350662203579, 340000.0, 99600.0, 14.7092054, 0.4869403194805195, 0.9866666666666667, 0.013333333333333332, 0.16468253968253968, 'statistics.mean(avg_fn)', 300, 15, 'zoops', 0, 5, 140428.9856119455, 4.10329943929002, 0.049916807727273346, 0.029814239699997188, 0.029814239699997195, 0.04356593483161566, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-1', 13.4, 0.6751350662203579, 15000.0, 886.03200162, 12.8733346, 0.6248418151515152, 0.43238095238095237, 0.5676190476190476, 0.12928571428571428, 'statistics.mean(avg_fn)', 300, 15, 'zoops', 1, 5, 1964.4069225930687, 5.796904580224285, 0.3149253425409481, 0.3316693159570121, 0.33166931595701205, 0.14523711943466108, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-2', 6.2, 0.6751350662203579, 15000.0, 51000.0, 25.630004800000002, 0.4925306663265307, 0.895, 0.10500000000000001, 0.1519047619047619, 'statistics.mean(avg_fn)', 300, 15, 'zoops', 1, 5, 34372.954484594426, 17.326059302106287, 0.05713642132954214, 0.10062305898749051, 0.10062305898749054, 0.09395565123553225, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-3', 5.4, 0.6751350662203579, 15000.0, 70200.0, 16.8366672, 0.4336508034632035, 0.9266666666666666, 0.07333333333333333, 0.19666666666666666, 'statistics.mean(avg_fn)', 300, 15, 'zoops', 1, 5, 66337.77204579605, 7.323160131163948, 0.061945086537022735, 0.10110500592068732, 0.10110500592068734, 0.14548768561863465, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-1', 15, 0.6751350662203579, 5100000.0, 9285.80000174, 9.740001399999999, 0.46636370808080807, 0.36, 0.64, 0.09333333333333334, 'statistics.mean(avg_fn)', 300, 15, 'oops', 0, 5, 17874.356160701474, 8.011464062274246, 0.3429525181187082, 0.10110500592068734, 0.10110500592068736, 0.10110500592068734, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-2', 15, 0.6751350662203579, 5100000.0, 3391400.0, 9.1666662, 0.43646462292929294, 0.96, 0.04, 0.09333333333333334, 'statistics.mean(avg_fn)', 300, 15, 'oops', 0, 5, 7051346.594800173, 2.0815328059445033, 0.06670435771718751, 0.036514837167011066, 0.03651483716701107, 0.10110500592068734, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-3', 15, 0.6751350662203579, 5100000.0, 31860000.0, 11.1933348, 0.424269899018759, 1.0, 0.0, 0.09333333333333334, 'statistics.mean(avg_fn)', 300, 15, 'oops', 0, 5, 60529273.90940684, 4.243256083612407, 0.09510955011162073, 0.0, 0.0, 0.10110500592068734, 'statistics.stdev(avg_fn)'
